Better with CTGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median/mode,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN v1,,,,,GAIN v2,,,,,,Standard Deviation MissForest,,,,,Standard Deviation GAIN v1,,,,,Standard Deviation GAIN v2,,,,
Mushroom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3169,-,0.3169,10.0461,202.9568,0.3682,-,0.3682,13.5687,94.6598,,-,-,-,-,-,0.0041,-,0.0041,0.2566,2.8701,0.0099,-,0.0099,0.7292,11.9198
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3074,-,0.3074,9.4500,292.4889,0.3041,-,0.3041,9.2513,133.6157,,-,-,-,-,-,0.0031,-,0.0031,0.1888,2.0802,0.0030,-,0.0030,0.1855,1.4691
Letter,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1509,0.1509,-,-,86.3958,0.1704,0.1704,-,-,33.3429,,-,-,-,-,-,0.0058,0.0058,-,-,1.2989,0.0051,0.0051,-,-,2.3912
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2681,0.2681,-,-,26.1355,0.2557,0.2557,-,-,8.6405,,-,-,-,-,-,0.0131,0.0131,-,-,0.2080,0.0091,0.0091,-,-,0.0499
Bank,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5255,0.2734,0.4484,20.1154,113.6608,0.5267,0.2548,0.4607,21.2282,43.6108,,-,-,-,-,-,0.0174,0.0235,0.0092,0.8174,1.3770,0.0082,0.0156,0.0071,0.6532,0.2039
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5296,0.2899,0.4429,19.6227,136.5815,0.5516,0.2769,0.4769,22.7539,55.0712,,-,-,-,-,-,0.0149,0.0198,0.0089,0.7871,1.2146,0.0101,0.0140,0.0085,0.8041,0.8708
Credit,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3303,0.1260,0.3052,9.3200,132.4346,0.3202,0.1422,0.2866,8.2139,50.3687,,-,-,-,-,-,0.0052,0.0043,0.0064,0.3987,1.3520,0.0065,0.0152,0.0030,0.1748,0.5252
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3100,0.0956,0.2943,8.6716,132.1302,0.3553,0.0819,0.3457,11.9597,50.2976,,-,-,-,-,-,0.0083,0.0171,0.0086,0.5072,1.0644,0.0098,0.0020,0.0100,0.6816,0.7753
News,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5230,0.2287,0.4699,22.3363,188.8049,0.5631,0.2803,0.4883,23.8578,60.7719,,-,-,-,-,-,0.0468,0.0062,0.0509,5.1099,2.8048,0.0111,0.0067,0.0128,1.2534,1.1551
500% increased data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500% increased data,,,,,,,,,,,,,,
Mushroom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3307,-,0.3307,10.9378,273.9795,0.4168,-,0.4168,17.3811,89.4766,,-,-,-,-,-,0.0064,-,0.0064,0.4232,2.0742,0.0112,-,0.0112,0.9444,1.5971
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3120,-,0.3120,9.7363,295.5243,0.3116,-,0.3116,9.7095,134.7257,,-,-,-,-,-,0.0033,-,0.0033,0.2053,1.9869,0.0044,-,0.0044,0.2713,1.1532
Letter,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1565,0.1565,-,-,94.0636,0.1926,0.1926,-,-,33.4046,,-,-,-,-,-,0.0036,0.0036,-,-,1.0536,0.0105,0.0105,-,-,1.0228
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2691,0.2691,-,-,262.0605,0.2622,0.2622,-,-,10.7681,,-,-,-,-,-,0.0095,0.0095,-,-,0.0489,0.0071,0.0071,-,-,0.0312
Bank,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5389,0.2806,0.4599,21.1636,132.0192,0.5529,0.3075,0.4593,21.1036,48.4040,,-,-,-,-,-,0.0108,0.0129,0.0127,1.1948,0.7337,0.0073,0.0121,0.0062,0.5708,0.4500
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5379,0.2926,0.4511,20.3602,153.5657,0.5647,0.2919,0.4834,23.3711,59.6233,,-,-,-,-,-,0.0096,0.0139,0.0101,0.9161,1.6758,0.0099,0.0096,0.0089,0.8645,0.7089
Credit,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3397,0.1411,0.3089,9.5521,144.5168,0.3660,0.1492,0.3340,11.1587,53.6295,,-,-,-,-,-,0.0088,0.0078,0.0092,0.5717,1.5266,0.0090,0.0132,0.0062,0.4176,0.7845
,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3249,0.0870,0.3130,9.8123,144.0905,0.3767,0.0908,0.3656,13.3710,53.6232,,-,-,-,-,-,0.0121,0.0019,0.0124,0.7681,1.9165,0.0088,0.0018,0.0091,0.6635,0.9449
News,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5654,0.2387,0.5121,26.4237,204.8834,0.5646,0.3019,0.4769,22.7522,65.3983,,-,-,-,-,-,0.0403,0.0107,0.0451,4.5225,3.5856,0.0069,0.0108,0.0076,0.7214,0.9130
