,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Median/mode,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN v1,,,,,GAIN v2,,,,
,50,0,0.1561,0.1561,-,-,0.0201,0.1736,0.1736,-,-,469.0000,0.1421,0.1421,-,-,43.3355,0.1117,0.1117,-,-,181.7431,0.1535,0.1535,-,-,21.3343,0.1395,0.1395,-,-,6.8924
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bank,10,0,0.4957,0.2661,0.4182,17.4882,0.0441,0.4280,0.1585,0.3976,15.8082,"27,945.0000",0.3891,0.1201,0.3701,13.6989,242.7307,0.3601,0.0790,0.3514,12.3461,373.9059,0.4571,0.1991,0.4112,16.9196,102.6840,0.4540,0.1679,0.4218,17.7947,42.2187
,,50,0.5012,0.2663,0.4245,18.0236,0.0705,0.4583,0.1926,0.4159,17.2990,"55,749.5100",0.3900,0.1204,0.3709,13.7589,429.3248,0.3623,0.0787,0.3536,12.5053,667.0185,0.5078,0.2508,0.4411,19.4676,105.4820,0.5029,0.2356,0.4440,19.7166,42.6537
,,100,0.4998,0.2662,0.4230,17.8898,0.0842,0.4738,0.2041,0.4276,18.2821,"70,437.8300",0.3906,0.1215,0.3712,13.7773,680.5893,0.3627,0.0786,0.3541,12.5362,977.0187,0.5263,0.2757,0.4478,20.0674,107.2780,0.5288,0.2609,0.4598,21.1567,43.0019
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5255,0.2734,0.4484,20.1154,113.6608,0.5267,0.2548,0.4607,21.2282,43.6108
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5389,0.2806,0.4599,21.1636,132.0192,0.5529,0.3075,0.4593,21.1036,48.4040
,30,0,0.4942,0.2636,0.4180,17.4764,0.0489,0.4496,0.1823,0.4110,16.8900,"19,092.0000",0.3905,0.1309,0.3679,13.5349,554.8403,0.3739,0.0915,0.3625,13.1404,367.9164,0.5023,0.2606,0.4289,18.4549,126.0892,0.4947,0.2301,0.4378,19.1702,54.2925
,,50,0.4927,0.2556,0.4212,17.7406,0.0650,0.4878,0.2212,0.4348,18.9012,"31,385.9900",0.3897,0.1302,0.3673,13.4922,"1,455.7339",0.3714,0.0912,0.3600,12.9625,519.8957,0.5309,0.2786,0.4515,20.3978,128.1379,0.5348,0.2655,0.4642,21.5671,52.9229
,,100,0.4954,0.2609,0.4212,17.7406,0.0916,0.4982,0.2320,0.4409,19.4418,"56,398.3800",0.3896,0.1303,0.3672,13.4845,"3,290.0957",0.3735,0.0909,0.3623,13.1256,666.6593,0.5374,0.2845,0.4556,20.7813,130.6764,0.5466,0.2746,0.4726,22.3444,54.3152
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5296,0.2899,0.4429,19.6227,136.5815,0.5516,0.2769,0.4769,22.7539,55.0712
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5379,0.2926,0.4511,20.3602,153.5657,0.5647,0.2919,0.4834,23.3711,59.6233
,50,0,0.4959,0.2671,0.4179,17.4599,0.0477,0.4752,0.2148,0.4239,17.9660,"13,067.0000",0.4389,0.1914,0.3950,15.5999,"1,152.8814",0.4074,0.1255,0.3876,15.0221,343.9106,0.4960,0.2452,0.4306,18.5818,126.2219,0.5345,0.2847,0.4509,20.3589,52.2066
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Credit,10,0,0.3412,0.0711,0.3338,11.1390,0.0482,0.2694,0.0667,0.2610,6.8145,"53,815.9300",0.2488,0.0525,0.2432,5.9145,212.3275,0.2623,0.0481,0.2578,6.6485,876.7438,0.2865,0.0846,0.2723,7.4319,123.9849,0.2845,0.1039,0.2641,6.9782,47.9572
,,50,0.3410,0.0728,0.3332,11.1004,0.0717,0.2935,0.0773,0.2831,8.0146,"62,607.1400",0.2490,0.0531,0.2433,5.9188,371.5996,0.2599,0.0477,0.2555,6.5265,"1,244.0736",0.3108,0.1144,0.2889,8.3512,125.6246,0.3051,0.1329,0.2744,7.5363,48.5927
,,100,0.3413,0.0742,0.3332,11.1004,0.0957,0.3017,0.0812,0.2906,8.4432,"97,838.2700",0.2488,0.0534,0.2430,5.9059,561.0505,0.2587,0.0477,0.2543,6.4657,"3,369.6949",0.3171,0.1239,0.2919,8.5269,128.5328,0.3182,0.1428,0.2840,8.0699,49.4474
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3303,0.1260,0.3052,9.3200,132.4346,0.3202,0.1422,0.2866,8.2139,50.3687
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3397,0.1411,0.3089,9.5521,144.5168,0.3660,0.1492,0.3340,11.1587,53.6295
,30,0,0.3366,0.0707,0.3291,10.8315,0.0479,0.2852,0.0709,0.2762,7.6288,"37,228.0000",0.2631,0.0548,0.2573,6.6212,412.7396,0.2731,0.0517,0.2682,7.1931,726.0621,0.3028,0.1310,0.2712,7.3627,123.9755,0.3143,0.1298,0.2841,8.0744,47.7763
,,50,0.3366,0.0704,0.3291,10.8315,0.0650,0.3063,0.0700,0.2982,8.8926,"73,280.6600",0.2631,0.0548,0.2574,6.6241,"1,315.7652",0.2827,0.0516,0.2780,7.7285,"1,093.8533",0.2955,0.0851,0.2829,8.0099,126.5915,0.3301,0.0956,0.3158,9.9887,48.3202
,,100,0.3367,0.0711,0.3291,10.8315,0.0874,0.3148,0.0692,0.3071,9.4295,"78,805.9900",0.2633,0.0548,0.2576,6.6342,"2,299.9039",0.2829,0.0517,0.2782,7.7378,"1,483.2502",0.2977,0.0892,0.2840,8.0690,128.0890,0.3403,0.1089,0.3223,10.3919,49.1599
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3100,0.0956,0.2943,8.6716,132.1302,0.3553,0.0819,0.3457,11.9597,50.2976
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3249,0.0870,0.3130,9.8123,144.0905,0.3767,0.0908,0.3656,13.3710,53.6232
,50,0,0.3376,0.0711,0.3301,10.8933,0.0447,0.3048,0.0744,0.2956,8.7387,"46,321.3000",0.2805,0.0628,0.2734,7.4761,426.9053,0.2895,0.0567,0.2839,8.0616,751.1649,0.3658,0.1897,0.3084,9.6314,124.5231,0.3477,0.1960,0.2859,8.1818,49.4874
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
News,10,0,0.5046,0.1942,0.4658,21.6931,0.1543,0.3975,0.1412,0.3716,13.8075,"121,295.4000",0.3824,0.1138,0.3651,13.3282,200.3602,0.3807,0.0667,0.3748,14.0472,"4,563.4597",0.5286,0.2028,0.4877,24.0928,156.0280,0.5080,0.2025,0.4659,21.7286,60.4982
,,50,0.5085,0.1953,0.4696,22.0487,0.2228,0.4567,0.1874,0.4165,17.3483,"167,948.8000",0.3830,0.1139,0.3657,13.3746,510.4984,0.3775,0.0668,0.3716,13.8060,"17,908.8383",0.5528,0.2261,0.5040,25.6637,159.0499,0.5337,0.2478,0.4727,22.3471,58.9748
,,100,0.5098,0.1985,0.4696,22.0487,0.3152,0.4741,0.2041,0.4279,18.3069,"389,598.1000",0.3827,0.1140,0.3653,13.3436,977.3805,0.3778,0.0671,0.3718,13.8253,"19,145.3693",0.5666,0.2290,0.5172,27.5346,170.0710,0.5427,0.2632,0.4745,22.5234,58.6028
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5230,0.2287,0.4699,22.3363,188.8049,0.5631,0.2803,0.4883,23.8578,60.7719
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5654,0.2387,0.5121,26.4237,204.8834,0.5646,0.3019,0.4769,22.7522,65.3983
,30,0,0.5046,0.1954,0.4652,21.6391,0.1478,0.4273,0.1606,0.3960,15.6822,"106,131.0300",0.4226,0.1319,0.4015,16.1178,815.9997,0.3978,0.0936,0.3866,14.9487,"3,966.0575",0.5818,0.3011,0.4963,24.9993,127.1362,0.5231,0.2769,0.4426,19.5948,43.1571
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,50,0,0.5041,0.1954,0.4646,21.5900,0.1457,0.4561,0.1840,0.4173,17.4153,"95,325.6500",0.4671,0.1539,0.4410,19.4521,"1,082.1920",0.4082,0.1228,0.3892,15.1518,"2,781.4976",0.5090,0.2006,0.4676,21.9779,167.8975,0.5206,0.2352,0.4639,21.5315,60.5239
,,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
