CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
870,Male,39,55771,69,Lawyer,0,2
2000,Female,99,89207,19,Executive,15,3
1990,Female,99,162206,20,Healthcare,8,1
1171,Female,45,46531,0,,1,2
1162,Male,4,76291,44,Homemaker,0,1
1362,Female,99,0,12,Marketing,4,5
315,Male,97,99938,77,Homemaker,0,1
2000,Male,99,100648,34,Artist,7,3
2000,Female,55,164609,0,Entertainment,10,5
2000,Female,93,68537,22,Healthcare,2,1
1179,Male,34,100416,73,Healthcare,0,1
1537,Female,82,177610,58,Homemaker,1,6
1709,Male,91,35458,44,Lawyer,8,1
1440,Female,45,47073,4,Healthcare,7,5
1787,Male,99,91242,0,Marketing,4,4
1209,Male,84,33761,71,Marketing,7,1
2000,Female,46,77095,4,Artist,0,1
812,Female,43,166117,0,Executive,0,7
1481,Male,68,34326,4,Artist,7,3
1078,Male,96,101476,44,Healthcare,0,5
1981,Male,49,43447,0,Executive,0,1
1188,Female,51,55243,22,Executive,3,5
1354,Female,82,101862,1,Marketing,4,7
1555,Male,88,39260,52,Doctor,3,1
421,Male,63,88880,100,Entertainment,6,5
1898,Male,83,39049,66,Doctor,9,1
795,Male,13,151828,4,Homemaker,0,1
1127,Female,73,94696,25,Homemaker,0,6
942,Female,42,74296,45,Lawyer,5,5
1092,Female,52,142838,97,Artist,0,4
2000,Female,77,59478,5,Lawyer,2,5
1823,Male,99,164697,56,Healthcare,0,3
2000,Male,99,79383,20,Artist,0,4
1810,Female,59,76658,70,Homemaker,8,5
1218,Male,21,62978,66,Engineer,6,5
559,Male,92,108596,83,Lawyer,0,4
1209,Male,92,46023,34,Artist,0,2
1616,Female,52,15907,0,Marketing,1,5
1394,Male,70,81938,5,Homemaker,0,1
1031,Female,26,69729,6,Doctor,1,1
888,Male,28,149436,0,Executive,1,2
942,Male,76,104698,36,Doctor,1,5
1806,Male,59,111627,27,Homemaker,0,1
971,Female,90,89781,23,Artist,1,1
1477,Female,98,54313,72,Healthcare,5,5
1761,Male,52,72600,24,Executive,5,7
966,Male,11,113253,50,Entertainment,0,1
642,Female,50,54825,1,Executive,0,1
1302,Male,41,92937,24,Artist,4,6
1575,Female,89,120225,69,Homemaker,0,6
902,Male,91,166802,76,Healthcare,8,5
1754,Male,55,80820,0,Healthcare,5,6
518,Male,52,92540,36,Homemaker,8,1
2000,Female,54,48082,9,Entertainment,0,1
1592,Male,82,188660,18,Executive,5,1
1353,Male,54,70301,71,Artist,2,4
1229,Male,74,68822,25,Executive,6,4
1386,Female,22,103042,27,Lawyer,1,5
1382,Female,16,83138,29,,1,7
1652,Male,48,67256,37,Doctor,0,1
1058,Female,87,51458,66,Homemaker,0,1
1231,Female,90,98769,27,,0,3
1734,Male,90,179742,2,Entertainment,6,1
2000,Female,90,127561,16,Lawyer,4,1
2000,Male,28,179557,68,Executive,1,4
1803,Female,96,95558,79,Homemaker,9,1
1123,Female,73,94552,52,Marketing,6,3
1783,Female,24,35630,56,Lawyer,1,1
699,Female,66,122750,26,Healthcare,1,7
1223,Female,74,169309,32,Healthcare,8,1
1649,Male,73,57845,10,Entertainment,7,5
1142,Female,53,91256,28,Executive,3,4
1438,Female,57,86000,8,,7,7
1393,Female,87,124674,13,Artist,1,5
1032,Male,83,168377,87,Marketing,0,5
1192,Male,21,74783,0,Entertainment,5,2
1917,Male,99,100004,4,Doctor,0,1
1322,Male,59,132328,36,Lawyer,5,5
1387,Male,44,115733,17,Artist,0,5
1221,Male,17,122340,70,Healthcare,5,1
457,Male,56,92471,0,Doctor,0,3
1623,Male,84,68176,1,Artist,5,5
1741,Female,99,37705,69,Homemaker,0,5
1439,Male,99,178515,58,Homemaker,5,6
1309,Female,52,34320,53,Entertainment,0,5
1420,Female,51,181939,10,Artist,0,2
1531,Female,22,31409,43,Engineer,0,6
235,Male,46,44488,68,Marketing,4,4
565,Male,32,92295,46,Entertainment,4,2
1365,Male,94,137203,0,Marketing,1,1
2000,Female,99,124562,21,Executive,7,2
1171,Female,97,130017,23,Healthcare,0,1
1038,Male,98,186462,17,Homemaker,0,6
1553,Male,39,63099,0,Healthcare,7,6
1532,Male,70,111913,0,Lawyer,0,5
1478,Female,89,0,64,Artist,8,1
1403,Male,64,84454,65,Homemaker,0,4
2000,Female,34,105274,18,Entertainment,7,1
540,Male,99,0,72,Marketing,3,2
1080,Male,82,109283,28,Artist,1,5
1255,Male,52,69320,99,Executive,10,6
884,Female,99,171788,37,Healthcare,5,5
2000,Male,93,137034,81,Entertainment,2,4
1937,Male,87,172468,15,Homemaker,3,6
1936,Female,53,43909,22,Healthcare,0,1
1815,Female,44,142012,8,Doctor,1,4
522,Female,79,84820,54,Healthcare,0,2
766,Female,47,88186,7,Artist,0,5
1069,Male,58,22428,81,Marketing,0,5
1440,Female,99,93290,46,Executive,1,5
2000,Female,98,63998,1,Marketing,1,4
1487,Female,84,85618,17,Doctor,6,7
1389,Male,99,165235,32,Doctor,1,7
1841,Male,46,178241,48,Marketing,5,6
1733,Female,88,37575,5,Entertainment,1,1
1207,Male,53,135543,0,Lawyer,0,5
1991,Female,72,162667,36,Doctor,10,1
1917,Male,57,59335,44,Lawyer,1,2
